10,FSA,County - Multi-family (2 or more),0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,4830,each unit,4830.00 / per unit,1,0,1
11,FSA,County - Single Family Housing,0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,6515,each dwelling,6515.00 / dwelling,1,0,1
12,FSA,County - Industrial,0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,626,each 1;000 square feet,626.00 / per 1;000 sq. ft.,1,0,1
13,FSA,County - Office,0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,1247,each 1;000 square feet,1247.00 / per 1;000 sq. ft.,1,0,1
14,FSA,County - Commercial,0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,936,each 1;000 square feet,936.00 / per 1;000 sq. ft.,1,0,1
15,FSA,County - Warehouse,0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,375,each 1;000 square feet,375.00 / per 1;000 sq. ft.,1,0,1
16,FSA,Davis - Multi-family (2 or more),Refer to County FSA Fee ordinance and the fee study driving the values to determine fee applicability. Appeals are to be directed to Scott Doolittle; Leslie Lindbo; and Mark Bryan.,GC66000; 66001,4/15/1991,7/26/2016,,0,0,3180,each unit,3180.00 / per unit,1,0,1
17,FSA,Davis - Single Family Housing,0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,4290,each dwelling,4290.00 / dwelling,1,0,1
18,FSA,Davis - Industrial,0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,334,each 1;000 square feet,334.00 / per 1;000 sq. ft.,1,0,1
19,FSA,Davis - Office,0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,666,each 1;000 square feet,666.00 / per 1;000 sq. ft.,1,0,1
20,FSA,Davis - Commercial,0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,500,each 1;000 square feet,500.00 / per 1;000 sq. ft.,1,0,1
21,FSA,Davis - Warehouse,0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,200,each 1;000 square feet,200.00 / per 1;000 sq. ft.,1,0,1
22,FSA,West Sacramento - Multi-family (2 or more),0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,3267,each unit,3267.00 / per unit,1,0,1
23,FSA,West Sacramento - Single Family Housing,0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,4407,each dwelling,4407.00 / dwelling,1,0,1
24,FSA,West Sacramento - Industrial,0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,334,each 1;000 square feet,334.00 / per 1;000 sq. ft.,1,0,1
25,FSA,West Sacramento - Office,0,GC66000; 66001,4/15/1991,7/26/2016,,0,0,666,each 1;000 square feet,666.00 / per 1;000 sq. ft.,1,0,1
