"BUSINESS_NO","BUS_LIC_NO","BUS_LIC_ISS","BUS_LIC_ISS_BY","BUS_LIC_EXP","BUS_LIC_EXP_BY","BUS_LIC_RENEW_NOTICE","BUS_LIC_RENEW_PAID","STATUS","STATUS_BY","TAG","CONDITIONS","LOCKID","RECORDID","LAST_INSPECTION","FEES_CHARGED","FEES_PAID","BALANCE_DUE","REFERENCE_NO","update_originator_id","update_timestamp","create_timestamp","insert_originator_id","TSstatus"
"10001","10001","","","","","","","","","","","","YOLO:110202074222477","","0","0","0","","","000000000026D759","","",""
"10011","10011","2003-11-13 00:00:00","","2023-01-31 00:00:00","EPRS","","","ACTIVE","ET","1","Facility must comply with all guidelines of California Uniform Retail Food Facilities Law.","","YOLO:110202074222487","","965.20000000000005","895.48000000000002","69.719999999999999","","0","00000000B4A0FB85","","",""
"10013","10013","2003-11-14 00:00:00","","2023-01-31 00:00:00","KAP","","","ACTIVE","KAP","1","","","YOLO:110202074222488","","1099.4000000000001","1029.6800000000001","69.719999999999999","","0","00000000B4A1A515","","",""
"10018","10018","2003-12-02 00:00:00","","2023-01-31 00:00:00","KAP","","","ACTIVE","KAP","1","","","YOLO:110202074222493","","965.20000000000005","895.48000000000002","69.719999999999999","","0","00000000B4A1D529","","",""
"10024","10024","2003-12-17 00:00:00","","2023-01-31 00:00:00","KAP","","","ACTIVE","KAP","1","Conditions on page 2 of business license.","","YOLO:110202074222498","","1099.4000000000001","1029.6800000000001","69.719999999999999","","0","00000000B4A1EE89","","",""
"10046","10046","2004-02-02 00:00:00","","2023-01-31 00:00:00","KAP","","","ACTIVE","KAP","1","Must comply w/ Yolo Co. Code Sec. 8-2.251 for Home Occupation.","","YOLO:110202074222520","","965.20000000000005","895.48000000000002","69.719999999999999","","0","00000000B4A2DECA","","",""
"10048","10048","2004-02-04 00:00:00","","2023-01-31 00:00:00","ET","","","ACTIVE","KAP","1","Must comply w/ Yolo Co. Code Sec. 8-2.251 for Home Occupation.","","YOLO:110202074222522","","1099.4000000000001","1029.6800000000001","69.719999999999999","","0","00000000B4A37127","","",""
"10053","10053","2004-02-10 00:00:00","","2023-01-31 00:00:00","EPRS","","","ACTIVE","ET","1","","","YOLO:110202074222527","","1099.4000000000001","1029.6800000000001","69.719999999999999","","0","00000000B4A37204","","",""
"10081","10081","2004-03-30 00:00:00","","2023-01-31 00:00:00","KAP","","","ACTIVE","KAP","1","","","YOLO:110202074222555","","1375","1305.28","69.719999999999999","","0","00000000B4A3BB96","","",""
"10091","10091","2004-04-26 00:00:00","","2023-01-31 00:00:00","ET","","","ACTIVE","ET","1","Must comply w/Yolo Co. Code Sec. 8-2.251 for Home Occupation.","","YOLO:110202074222565","","950.20000000000005","880.48000000000002","69.719999999999999","","0","00000000B4A3BDC6","","",""
"10096","10096","2004-04-28 00:00:00","","2023-01-31 00:00:00","ET","","","ACTIVE","KAP","1","","","YOLO:110202074222570","","1099.4000000000001","1029.6800000000001","69.719999999999999","","0","00000000B4A3BED1","","",""
"10099","10099","2004-04-29 00:00:00","","2023-01-31 00:00:00","EPRS","","","ACTIVE","KAP","1","","","YOLO:110202074222573","","962.20000000000005","892.48000000000002","69.719999999999999","","0","00000000B4A3D74F","","",""
"10121","10121","2004-06-10 00:00:00","","2023-01-31 00:00:00","KAP","","","ACTIVE","KAP","1","","","YOLO:110202074222595","","831.39999999999998","761.67999999999995","69.719999999999999","","0","00000000B4A3F015","","",""
"1015","1015","1993-04-29 00:00:00","","2023-01-31 00:00:00","KAP","","","ACTIVE","KAP","1","","","YOLO:1102020742222461","","1099.4000000000001","1029.6800000000001","69.719999999999999","","0","00000000B4A3F10E","","",""
"10163","10163","2004-09-20 00:00:00","","2023-01-31 00:00:00","EC","","","ACTIVE","KAP","1","","","YOLO:110202074222637","","1099.4000000000001","1029.6800000000001","69.719999999999999","","0","00000000B4A3F215","","",""
"10168","10168","2004-10-25 00:00:00","","2023-01-31 00:00:00","MAN","","","ACTIVE","MAN","1","Must comply with Yolo Co. Code Sec. 8-2.251 for Home Occ.","","YOLO:110202074222642","","1239.9000000000001","1170.1800000000001","69.719999999999999","","0","00000000B4A3F327","","",""
"10177","10177","2004-11-04 00:00:00","","2023-01-31 00:00:00","ET","","","ACTIVE","ET","1","","","YOLO:110202074222651","","965.20000000000005","895.48000000000002","69.719999999999999","","0","00000000B4A3F41C","","",""
"10185","10185","2004-12-10 00:00:00","","2023-01-31 00:00:00","KAP","","","ACTIVE","KAP","1","","","YOLO:110202074222659","","894.29999999999995","824.58000000000004","69.719999999999999","","0","00000000B4A3F50B","","",""
"10198","10198","2005-01-13 00:00:00","","2023-01-31 00:00:00","EPRS","","","ACTIVE","EPRS","1","Must comply with Yolo County Code section 8-2.251 for Home Occupation.","","YOLO:110202074222672","","678.84000000000003","609.12","69.719999999999999","","0","00000000B4A40DC1","","",""
"10206","10206","2005-02-16 00:00:00","","2024-01-31 00:00:00","TG","","","ACTIVE","KAP","1","","","YOLO:110202074222680","","1168.3","1168.3","0","","0","00000000B58E23FF","","",""
"10226","10226","2005-02-25 00:00:00","","2023-01-31 00:00:00","EPRS","","","ACTIVE","KAP","1","Must comply with Yolo County Code Section 8-2.251 for Home Occupation","","YOLO:110202074222700","","965.20000000000005","895.48000000000002","69.719999999999999","","0","00000000B4A40FC9","","",""
"10257","10257","2005-04-26 00:00:00","","2023-01-31 00:00:00","EPRS","","","ACTIVE","ET","1","MUST COMPLY W/ YOLO CO. CODE SECTION 8-2.251 FOR HOME OCC.","","YOLO:110202074222730","","965.20000000000005","895.48000000000002","69.719999999999999","","0","00000000B4A4125C","","",""
"1026","1026","1985-03-12 00:00:00","","2023-01-31 00:00:00","KAP","","","ACTIVE","KAP","1","","","YOLO:1102020742222073","","1099.4000000000001","1029.6800000000001","69.719999999999999","","0","00000000B4A4136D","","",""
"1027","1027","1985-01-05 00:00:00","","2023-01-31 00:00:00","ET","","","ACTIVE","KAP","1","","","YOLO:1102020742222070","","965.20000000000005","895.48000000000002","69.719999999999999","","0","00000000B4A41482","","",""
"10273","10273","2005-05-19 00:00:00","","2023-01-31 00:00:00","KAP","","","ACTIVE","KAP","1","","","YOLO:110202074222746","","1041.0999999999999","971.38","69.719999999999999","","0","00000000B4A415D4","","",""
"10283","10283","2005-06-14 00:00:00","","2023-01-31 00:00:00","KAP","","","ACTIVE","KAP","1","","","YOLO:110202074222755","","1099.4000000000001","1029.6800000000001","69.719999999999999","","0","00000000B4A416DB","","",""
"10328","10328","2005-08-29 00:00:00","","2023-01-31 00:00:00","KAP","","","ACTIVE","KAP","1","MUST COMPLY W/ YOLO CO. CODE SEC.8-2.251 FOR HOME OCCUPATION.","","YOLO:110202074222800","","972.20000000000005","902.48000000000002","69.719999999999999","","0","00000000B4A4183C","","",""
"10337","10337","2005-09-19 00:00:00","","2023-01-31 00:00:00","ET","","","ACTIVE","ET","1","Must comply with Yolo County Code section 8-2.251 for Home Occupation.Owner may store up to 100 cases of wine on the premises. The Home Occupation is restricted to 200 gallons of on-site production per year and sales/tasting by appointment only.","","YOLO:110202074222809","","1237.2","1167.48","69.719999999999999","","0","00000000B4A4193F","","",""
"10339","10339","2005-09-13 00:00:00","","2023-01-31 00:00:00","KAP","","","ACTIVE","KAP","1","","","YOLO:110202074222811","","547.97000000000003","478.25","69.719999999999999","","0","00000000B4A449BC","","",""
"10366","10366","2005-10-06 00:00:00","","2023-01-31 00:00:00","MAN","","","ACTIVE","MAN","1","","","YOLO:110202074222836","","892.24000000000001","822.51999999999998","69.719999999999999","","0","00000000B4A44B6C","","",""
"10374","10374","2005-10-26 00:00:00","","2023-01-31 00:00:00","MAN","","","ACTIVE","MAN","1","","","YOLO:110202074222844","","1075.28","1005.5599999999999","69.719999999999999","","0","00000000B4A44CBB","","",""
"10376","10376","2005-10-26 00:00:00","","2023-01-31 00:00:00","ET","","","ACTIVE","KAP","1","Must comply w/ Yolo Co. Code Sec. 8-2-251 for Home Occupation.","","YOLO:110202074222846","","972.20000000000005","902.48000000000002","69.719999999999999","","0","00000000B4A44D98","","",""
"10382","10382","2005-11-02 00:00:00","","2023-01-31 00:00:00","ET","","","ACTIVE","KAP","1","","","YOLO:110202074222852","","965.20000000000005","895.48000000000002","69.719999999999999","","0","00000000B4A44E8F","","",""
"10386","10386","2005-11-10 00:00:00","","2023-01-31 00:00:00","KAP","","","ACTIVE","KAP","1","","","YOLO:110202074222856","","824.63999999999999","754.91999999999996","69.719999999999999","","0","00000000B4A44F5E","","",""
"10388","10388","2005-11-17 00:00:00","","2023-01-31 00:00:00","ET","","","ACTIVE","KAP","1","No farm labor on site.","","YOLO:110202074222858","","965.20000000000005","895.48000000000002","69.719999999999999","","0","00000000B4A4502F","","",""
